id,tier,c_reason,nc_any,nc_isolation_stage,m1_cells,m2_base_medium,m3_serum_enrichment,m4_additives,m5_timeline,m6_inoculum_only_diff,match_basis,control_cpe_reported,control_cpe_claimed_negative,control_images,positive_control_present,ambiguous,primary_experiment,endpoint_for_control_comparison,scorer,score_date,notes
VI25,C,C-stage,yes,no,NA,NA,NA,NA,NA,NA,NA,no,NA,yes,no,yes,Primary Isolation sensitivity comparison of EBOV on Vero E6/Huh-7/MDM (methods isolation incubations),Plaque titer / immunostaining (Isolation success),grok-remediated,2026-07-20,REMEDIATED after agent2: culture NCs exist (TCID50 diluent rows; toxicity media control flask) but wrong-stage vs primary Isolation plates which have no mock/uninfected well — C-stage not A
VI28,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation from COVID-19 specimens on VeroE6 variants,CPE,grok-primary,2026-07-20,No mock/uninfected culture NC described
VI29,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Propagation of PV rabies on BSR for NP extraction,NP purification / SDS-PAGE,grok-primary,2026-07-20,No mock/uninfected culture NC; same article as VI47
VI30,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation of IAV on MDCK / eggs,CPE,grok-primary,2026-07-20,No Isolation-stage culture NC; plaque assay and IFA use negative controls (secondary; not used to upgrade tier)
VI32,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation of FHV-1 on CRFK,CPE,grok-primary,2026-07-20,No mock/uninfected culture NC described
VI33,A,NA,yes,yes,yes,yes,yes,yes,yes,yes,allowed_inference,yes,yes,yes,no,no,Primary Isolation of MERS-CoV from camel nasal swabs on Vero E6,CPE,grok-primary,2026-07-20,PBS control well on each plate; after inoculum all wells washed and fresh medium added; Fig. normal uninfected cells
VI34,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation of CAV-2 variant on MDCK,CPE,grok-primary,2026-07-20,No mock/uninfected culture NC described
VI36,B,NA,yes,yes,yes,unknown,unknown,unknown,unknown,yes,NA,yes,yes,yes,yes,yes,In vitro Vero infection/IF/PRNT; animal mock groups; colostrum culture Isolation attempt,IF / plaque / culture recovery,grok-primary,2026-07-20,Many animal mocks; Mock-infected Vero for IF claimed negative; culture Isolation from colostrum lacks described culture NC; medium for mock Vero not fully specified — B
VI38,A,NA,yes,yes,yes,yes,yes,yes,yes,yes,explicit,yes,yes,yes,no,no,Infection experiments Vero E6 mock vs SARS-CoV-2 +/- trypsin,IF / titer / morphology,grok-primary,2026-07-20,Repeated "mock infected or infected" under stated parallel trypsin/medium conditions
VI39,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Primary Isolation of Oita virus from bats on Vero lines,CPE / growth,grok-primary,2026-07-20,Negative controls described for mouse IC pathogenicity (PBS) not for culture Isolation
VI40,B,NA,yes,yes,yes,unknown,unknown,unknown,unknown,yes,NA,yes,yes,yes,no,yes,RSV infection of HEp-2 and A549 vs mock,IF morphology / RNA-seq / cytokines,grok-remediated,2026-07-20,REMEDIATED after agent3: mock in results/figures; methods state 2% FBS/MEM for infected cells only — not explicit identical mock medium → B not A
VI41,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Characterization of WNV small-plaque variant,Plaque / growth kinetics,grok-primary,2026-07-20,No mock/uninfected culture NC described
VI42,B,NA,yes,yes,yes,unknown,unknown,unknown,yes,yes,NA,no,NA,no,no,yes,VZV/AdORF29 infection experiments; mock-infected lanes for WB/IF,Protein localization / WB (not Isolation CPE),grok-primary,2026-07-20,Mock-infected for AdORF29 experiments; maintenance medium language present but mock medium not always restated; not classical clinical Isolation
VI43,A,NA,yes,yes,yes,yes,yes,yes,yes,yes,explicit,yes,NA,yes,no,no,Persistent SARS-CoV infection experiments on Vero E6 with mock-infected controls,Cell viability / WB / morphology,grok-primary,2026-07-20,Image-PDF; methods state 2% FBS before infection and controls prepared in 2% FBS DMEM; mock-infected protein samples; OCR from rendered pages
VI45,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,yes,no,Isolation of street/fixed rabies on HEK-293 vs Neuro-2a/BHK,FAT foci,grok-primary,2026-07-20,"Virus control" section is CVS-11 positive control strain not culture NC
VI46,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Routine Isolation of street rabies by RTCIT,FAT,grok-primary,2026-07-20,No mock/uninfected culture NC described in extracted text
VI47,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,Propagation of PV rabies on BSR for NP extraction (duplicate of VI29),NP purification / SDS-PAGE,grok-primary,2026-07-20,Duplicate content of VI29; no culture NC
SPT10,D,NA,no,no,NA,NA,NA,NA,NA,NA,NA,no,NA,no,no,no,ZIKV propagation and TC-tagged virus imaging on Vero,CPE for harvest; IF labeling,grok-primary,2026-07-20,Uninfected cells used only to show biarsenical dye does not label cellular components — not Isolation-stage morphology NC
